--------- beginning of radio
11-20 16:28:10.100 E/PHONE   ( 1186): ServiceState.getRadioTechnology() DEPRECATED will be removed *******
11-20 16:28:10.113 D/TelephonyRegistry( 1186): notifyCellLocationForSubscriber: subId=1 cellLocation=CellIdentityLte:{ mCi=168987920 mPci=490 mTac=35650 mEarfcn=5110 mBands=[] mBandwidth=2147483647 mMcc=310 mMnc=410 mAlphaLong=AT&T mAlphaShort=AT&T mAdditionalPlmns={} mCsgInfo=null}
11-20 21:44:03.707 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 14 lines
11-20 21:44:03.751 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 8 lines
11-20 21:44:03.763 I/chatty  ( 1984): uid=1001(radio) NetworkService expire 9 lines
11-20 21:44:03.798 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 11 lines
11-20 21:44:03.798 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 45 lines
11-20 21:53:09.249 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 6 lines
11-20 22:08:30.361 I/chatty  ( 1984): uid=1001(radio) Binder:1984_2 expire 2 lines
11-20 22:08:30.434 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 24 lines
11-20 22:10:02.369 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 11 lines
11-20 22:17:28.462 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 22 lines
11-20 22:32:54.542 I/chatty  ( 1984): uid=1001(radio) Binder:1984_8 expire 2 lines
11-20 22:32:54.622 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 27 lines
11-20 22:35:14.690 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 13 lines
11-20 23:00:11.600 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 24 lines
11-20 23:02:06.681 I/chatty  ( 1984): uid=1001(radio) Binder:1984_C expire 1 line
11-20 23:02:06.694 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 20 lines
11-20 23:02:06.699 I/chatty  ( 1984): uid=1001(radio) Binder:1984_8 expire 1 line
11-20 23:02:21.570 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 12 lines
11-20 23:16:25.610 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 24 lines
11-20 23:27:18.826 I/chatty  ( 1984): uid=1001(radio) Binder:1984_10 expire 1 line
11-20 23:27:18.842 I/chatty  ( 1984): uid=1001(radio) Binder:1984_8 expire 1 line
11-20 23:27:18.855 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 18 lines
11-20 23:29:27.809 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 11 lines
11-20 23:43:41.757 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 51 lines
11-20 23:50:33.089 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 2 lines
11-20 23:55:42.940 I/chatty  ( 1984): uid=1001(radio) Binder:1984_8 expire 1 line
11-20 23:55:42.951 I/chatty  ( 1984): uid=1001(radio) Binder:1984_10 expire 1 line
11-20 23:56:34.050 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 9 lines
11-20 23:59:34.525 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 39 lines
11-21 00:13:55.109 I/chatty  ( 1984): uid=1001(radio) Binder:1984_2 expire 18 lines
11-21 00:13:55.240 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 14 lines
11-21 00:13:55.383 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 1 line
11-21 00:13:55.444 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 4 lines
11-21 00:14:00.380 I/chatty  ( 1984): uid=1001(radio) Binder:1984_2 expire 1 line
11-21 00:14:01.635 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 2 lines
11-21 00:14:01.658 I/chatty  ( 1984): uid=1001(radio) DcHandlerThread expire 28 lines
11-21 00:14:01.686 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 5 lines
11-21 00:14:01.713 I/chatty  ( 1984): uid=1001(radio) DcHandlerThread expire 4 lines
11-21 00:14:03.763 I/chatty  ( 1984): uid=1001(radio) Binder:1984_C expire 10 lines
11-21 00:14:04.990 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 3 lines
11-21 00:16:57.768 I/chatty  ( 1984): uid=1001(radio) DcHandlerThread expire 15 lines
11-21 00:16:57.783 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 4 lines
11-21 00:16:57.806 I/chatty  ( 1984): uid=1001(radio) DcHandlerThread expire 15 lines
11-21 00:22:27.011 I/chatty  ( 1984): uid=1001(radio) NetworkService expire 7 lines
11-21 00:22:27.071 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 16 lines
11-21 00:22:27.157 E/PHONE   ( 1186): ServiceState.getRadioTechnology() DEPRECATED will be removed *******
11-21 00:22:27.207 D/TelephonyRegistry( 1186): notifyCellLocationForSubscriber: subId=1 cellLocation=CellIdentityLte:{ mCi=168987913 mPci=327 mTac=35650 mEarfcn=800 mBands=[] mBandwidth=2147483647 mMcc=310 mMnc=410 mAlphaLong=AT&T mAlphaShort=AT&T mAdditionalPlmns={} mCsgInfo=null}
11-21 00:22:30.045 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 2 lines
11-21 00:22:30.071 I/chatty  ( 1984): uid=1001(radio) DcHandlerThread expire 24 lines
11-21 00:22:30.089 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 5 lines
11-21 00:22:30.105 I/chatty  ( 1984): uid=1001(radio) DcHandlerThread expire 10 lines
11-21 00:22:33.734 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 3 lines
11-21 00:22:50.980 I/chatty  ( 1984): uid=1001(radio) Binder:1984_2 expire 2 lines
11-21 00:23:31.563 I/chatty  ( 1984): uid=1001(radio) Binder:1984_A expire 1 line
11-21 00:24:41.148 I/chatty  ( 1984): uid=1001(radio) DcHandlerThread expire 18 lines
11-21 00:24:41.167 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 4 lines
11-21 00:24:41.210 I/chatty  ( 1984): uid=1001(radio) DcHandlerThread expire 15 lines
11-21 00:28:20.606 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 7 lines
11-21 00:28:21.221 I/chatty  ( 1984): uid=1001(radio) DcHandlerThread expire 2 lines
11-21 00:28:21.221 D/Dcc-C-0 ( 1984): onDataStateChanged: Found ConnId=0 newState=DataCallResponse: { cause=0 retry=-1 cid=0 linkStatus=2 protocolType=1 ifname=rmnet_data1 addresses=[2600:381:5b57:6514:2fb9:427c:b277:725/64] dnses=[/fc00:a:a::400, /fc00:a:a::400] gateways=[/fe80::30e4:eca5:4452:d551] pcscf=[/2001:1890:1f8:21fe::1:2, /2001:1890:1f8:216b::1:3] mtu=1430 mtuV4=1430 mtuV6=1430}
11-21 00:28:21.228 D/DC-C-1  ( 1984): addr/pl=/2600:381:5b57:6514:2fb9:427c:b277:725/64
11-21 00:28:21.235 D/DC-C-1  ( 1984): MTU set by call response to: 1430
11-21 00:28:21.235 D/DC-C-1  ( 1984): updateTcpBufferSizes: lte
11-21 00:28:21.236 D/Dcc-C-0 ( 1984): onDataStateChanged: no change
11-21 00:28:21.236 D/Dcc-C-0 ( 1984): onDataStateChanged: Found ConnId=1 newState=DataCallResponse: { cause=0 retry=-1 cid=1 linkStatus=1 protocolType=2 ifname=rmnet_data2 addresses=[10.55.48.101/30, 2600:381:4804:c4b6:8cdc:8f0b:afe1:ec6b/64] dnses=[/172.26.38.2, /172.26.38.2, /fc00:a:a::400, /fc00:a:a::400] gateways=[/10.55.48.102, /fe80::9db2:334d:2872:1e0a] pcscf=[] mtu=1430 mtuV4=1430 mtuV6=1430}
11-21 00:28:21.237 D/DC-C-2  ( 1984): addr/pl=/10.55.48.101/30
11-21 00:28:21.237 D/DC-C-2  ( 1984): addr/pl=/2600:381:4804:c4b6:8cdc:8f0b:afe1:ec6b/64
11-21 00:28:21.243 D/DC-C-2  ( 1984): MTU set by call response to: 1430
11-21 00:28:21.243 D/DC-C-2  ( 1984): updateTcpBufferSizes: lte
11-21 00:28:21.243 D/Dcc-C-0 ( 1984): onDataStateChanged: no change
11-21 00:28:21.243 D/Dcc-C-0 ( 1984): onDataStateChanged: Data Activity updated to NONE. isAnyDataCallActive = true isAnyDataCallDormant = true
11-21 00:28:21.243 D/Dcc-C-0 ( 1984): onDataStateChanged: dcsToRetry=[] apnsToCleanup=[]
11-21 00:28:21.244 D/NetworkTypeController( 1984): [0] LegacyState: process EVENT_PHYSICAL_LINK_STATE_CHANGED
11-21 00:28:21.244 D/QtiDCT-C( 1984): [0]startNetStatPoll
11-21 00:28:21.256 D/QtiDCT-C( 1984): [0]setActivity = NONE
